BatchNumber,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41
58,5.000497,19.75519,28.10149,,4.999668,5.049625,26.73733,27.6,35.9,39.6,23.2,944.3207,2082.537,2180.287,1063.942,23.52186,25.83976,30.31148,33.81025,31.48333,140.5465,130.7343,5.000978,60.52303,24.98359,31.81103,5.081391,27.05805,7.507241,54.88956,5.000978,60,40,13,4.94353,11,4.959773,4.965171,6033.625,5618.528,5018.657227
59,5.000497,21.18028,29.8476,,4.998839,5.050548,26.72053,27.7,36,39.6,23.2,919.8754,2090.079,2189.692,1063.942,23.52186,25.83976,30.47944,33.81025,31.31537,140.4473,130.7343,4.999502,61.17809,24.74093,31.72789,5.083826,26.85423,7.526392,54.88956,4.999502,60,40,13,4.936149,11,4.960672,4.964271,6050.097,5610.292,5018.657227
60,5.002985,19.17801,27.46109,,5.000497,5.049625,26.70961,27.8,36.1,39.5,23.2,927.7344,2078.865,2189.343,1063.942,23.52186,26.00772,30.47944,33.81025,31.31537,140.5465,130.7343,5.00024,61.17809,24.67946,32.05487,5.083826,27.52411,7.497666,54.90262,5.00024,60,40,13,4.934304,11,4.957074,4.954375,6050.097,5618.528,4993.949219
61,5.001327,20.65175,27.8129,,4.999668,5.050548,26.69349,28.2,36.1,39.5,23.3,928.3503,2094.738,2170.493,1018.52,23.35389,26.00772,30.47944,33.81025,31.48333,140.4473,129.9113,5.00024,60.85896,26.18038,32.69373,5.086261,26.925,7.497666,54.92741,5.00024,60,40,13,4.925077,11,4.959773,4.957973,6041.861,5618.528,4985.712891
62,4.99801,20.5869,28.63002,,4.999668,5.050548,26.68475,28.3,36,39.4,23.2,953.7628,2092.944,2156.379,1018.348,23.52186,26.17568,30.47944,33.81025,31.31537,140.6457,129.7433,4.999502,61.17809,25.23466,32.05118,5.087479,26.88262,7.507241,54.94047,4.999502,60,40,13,4.92969,11,4.961572,4.958873,6041.861,5610.292,4978.300781
63,4.997181,19.51362,28.14851,,4.999668,5.050548,26.67467,28.5,35.9,39.4,23.2,921.0968,2100.743,2170.146,1063.942,23.52186,26.00772,30.47944,33.64228,31.31537,140.7449,129.7433,5.00024,61.51401,24.73189,31.86142,5.081391,27.16326,7.478515,54.96657,5.00024,60,40,13,4.94353,11,4.959773,4.957973,6041.861,5618.528,4978.300781
64,5.004643,19.03372,28.05285,,5.000497,5.050548,26.67669,28.4,35.9,39.4,23.1,954.079,2091.15,2142.044,1063.763,23.52186,26.00772,30.31148,33.81025,31.31537,140.6457,129.5754,5.002455,60.85896,25.63026,32.44846,5.082609,27.39459,7.513625,54.96657,5.002455,60,40,13,4.951834,11,4.948078,4.963372,6050.097,5618.528,4961.828125
65,4.997181,20.8917,27.76427,,4.998839,5.050548,26.76,28.4,35.9,39.6,23.2,920.9443,2112.167,2170.84,1018.348,23.35389,25.83976,30.47944,33.81025,31.6513,140.5465,129.7433,5.001717,60.85896,25.01594,31.51712,5.089913,26.89295,7.513625,54.99267,5.001717,60,40,13,4.92969,11,4.965171,4.96697,6050.097,5618.528,4970.064453
66,4.995522,20.33074,28.14851,,4.999668,5.050548,26.79914,28.2,35.9,39.6,23.2,911.9943,2094.546,2175.568,1018.177,23.52186,25.67179,30.47944,33.81025,31.6513,140.7449,129.5754,5.00024,61.17809,25.02659,32.24932,5.083826,27.23429,7.507241,54.96657,5.00024,60,40,13,4.952757,11,4.950777,4.956174,6041.861,5610.292,4970.064453
67,4.99801,20.18645,28.83755,,4.999668,5.050548,26.82719,28.1,36,39.6,23.2,928.1964,2095.806,2203.726,1063.942,23.52186,25.83976,30.31148,33.81025,31.6513,140.7449,130.5831,4.999502,61.17809,25.47698,32.5655,5.091131,26.84274,7.500858,54.96657,4.999502,60,40,13,4.944453,11,4.961572,4.959773,6033.625,5610.292,4953.592773
68,4.997181,20.5561,29.76654,,4.998839,5.049625,26.91705,27.8,36.1,39.5,23.1,927.7344,2072.06,2142.387,1030.058,23.52186,26.00772,30.47944,33.81025,31.48333,140.6457,129.9113,4.999502,60.85896,25.0867,31.79376,5.091131,26.73814,7.510433,54.91567,4.999502,60,40,13,4.930613,11,4.953475,4.956174,6041.861,5618.528,4961.828125
69,5.000497,19.69034,28.77432,,5.000497,5.049625,26.93586,27.6,36,39.4,23.1,927.4263,2078.969,2188.992,1063.763,23.35389,25.67179,30.47944,33.81025,31.6513,140.5465,129.5754,5.00024,61.01012,24.80268,31.04848,5.097218,26.61949,7.488091,54.91567,5.00024,60,40,13,4.949066,11,4.947178,4.951676,6041.861,5626.764,4970.064453
70,5.002156,20.13943,26.67477,,4.999668,5.050548,26.93838,27.5,35.9,39.4,23.2,919.5698,2094.546,2170.146,1063.942,23.35389,25.67179,30.47944,33.81025,31.31537,140.5465,129.7433,4.999502,61.17809,26.48211,32.00561,5.078957,27.02732,7.50405,54.90262,4.999502,60,40,13,4.938917,11,4.966071,4.964271,6050.097,5626.764,4970.064453
